Nombre Jugador,pais,alineaciones,goles
Lionel Messi,Argentina,520,474
Cristiano Ronaldo,Portugal,292,311
Telmo Zarra,España,277,254
Karim Benzema,Francia,439,238
Hugo Sánchez,México,347,234
Raúl,España,550,228
Alfredo di Stéfano,España,329,227
César Rodríguez,España,349,221
Quini,España,448,219
Pahiño,España,278,214
Mundo,España,229,195
Santillana,España,461,186
David Villa,España,353,185
Antoine Griezmann,Francia,481,185
Guillermo Gorostiza,España,255,182
Luis Suárez,Uruguay,258,176
Samuel Eto'o,Camerún,277,162
Luis Aragonés,España,353,160
Aritz Aduriz,España,440,158
Ferenc Puskás,Hungría,180,156
Julio Salinas,España,411,152
Iago Aspas,España,348,151
Raúl Tamudo,España,397,146
José Mari Bakero,España,454,139
László Kubala,Hungría,215,138
José Panizo,España,324,136
Ismael Urzaiz,España,440,133
Jesús Satrustegui,España,294,132
Roberto Soldado,España,320,129
Lyuboslav Penev,Bulgaria,305,129
Diego Forlán,Uruguay,240,128
Paco Gento,España,413,128
Álvaro Negredo,España,354,127
Mario Kempes,Argentina,222,126
Pirri,España,418,124
Emilio Butragueño,España,341,123
Fernando Morientes,España,325,122
Gerard Moreno,España,300,118
Amancio,España,344,118
Ronaldo,Brasil,164,116
Davor Suker,Croacia,239,114
Piru Gaínza,España,338,114
Pello Uralde,España,330,111
Roberto López Ufarte,España,398,111
Raúl García,España,566,110
Bata,España,118,107
Gonzalo Higuaín,Argentina,190,107
Rivaldo,Brasil,198,107
Eneko Arieta,España,204,107
Epi,España,265,107
Fernando,España,420,106
Isidro Lángara,España,88,105
Meho Kodro,Bosnia y Herzegovina,245,105
José Eulogio Gárate,España,229,105
Fernando Hierro,España,472,105
Silvestre Igoa,España,229,104
Fernando Torres,España,281,103
Luis Enrique,España,399,103
Mariano Martín,España,116,102
Julen Guerrero,España,339,102
Victorio Unamuno,España,141,100
Roy Makaay,Países Bajos,205,100
Iván Zamorano,Chile,196,98
Cristhian Stuani,Uruguay,289,98
Michel,España,404,97
Diego Tristán,España,214,96
José Iraragorri,España,138,94
Juanito,España,314,94
Cuco Ziganda,España,337,94
Víctor Fernández,España,340,94
Robert Fernández,España,433,94
Herrerita,España,172,93
Rubén Castro,España,278,93
Pruden Sánchez,España,102,92
Guillermo Campanal,España,139,92
Juan Antonio Pizzi,España,221,92
Luis Molowny,España,173,92
Darko Kovačević,Serbia,261,92
Paco Campos,España,138,91
Patrick Kluivert,Países Bajos,192,91
Savo Milosevic,Serbia,241,91
Carlos Muñoz,España,264,91
Luis Regueiro,España,144,90
Fidel Uriarte,España,292,90
Txiki Begiristain,España,436,90
Frédéric Kanouté,Malí,209,89
Cayetano Ré,Paraguay,212,89
Estanislao Basora,España,237,89
Fernando Llorente,España,285,88
Manolo,España,262,88
Bernd Schuster,Alemania,316,87
Juan Manuel Asensi,España,336,87
Bebeto,Brasil,131,86
Justo Tejada,España,185,86
Salva Ballesta,España,232,86
José Artetxe,España,215,86
Josep Escolà,España,152,85
Predrag Mijatović,Montenegro,194,85
Joseba Etxeberria,España,445,85
Alfonso,España,293,84
Hristo Stoichkov,Bulgaria,173,83
Toni Polster,Austria,171,83
Walter Pandiani,Uruguay,279,83
Fernando Ansola,España,202,83
Evaristo de Macedo,Brasil,131,82
Gareth Bale,Gales,176,81
Juan Arza,España,154,81
Sabino Barinaga,España,178,81
Carles Rexach,España,305,81
Dani,España,166,80
Willian José,Brasil,258,80
Rafael Iriondo,España,265,80
Manu Sarabia,España,251,78
Joaquín,España,622,78
Eloy Olaya,España,400,77
Julio Dely Valdés,Panamá,207,76
Sergio Ramos,España,519,76
Nihat Kahveci,Turquía,186,75
Sergio Agüero,Argentina,179,75
Oli,España,254,75
Mikel Oyarzabal,España,271,75
José Luis Morales,España,305,75
Sergio García,España,361,75
Kévin Gameiro,Francia,237,74
Diego Costa,España,205,73
Jorge Molina,España,289,73
Iñaki Williams,Ghana,334,73
Luis García,España,326,73
Luís Fabiano,Brasil,149,72
José Zaldúa,España,174,72
Amadeo,España,217,72
Adelardo,España,393,72
Dani Parejo,España,460,72
Marcial Pina,España,274,71
Manuel Hermida,España,99,70
Álvaro Morata,España,172,70
Juan Araujo,España,105,70
Javier Saviola,Argentina,195,70
Ronaldinho,Brasil,145,70
Joaquín Peiró,España,109,69
Adrián Escudero,España,138,69
Carlos Vela,México,252,69
Santiago Urtizberea,España,71,68
Neymar,Brasil,123,68
Juanmi,España,267,68
Venancio,España,167,68
Juan Sánchez,España,301,68
Valeriy Karpin,Rusia,384,68
Ronald Koeman,Países Bajos,192,67
Luís Figo,Portugal,336,67
